budget,revenue,original_title,director,genres,production_companies,release_year,budget_adj,revenue_adj
38000000,45465299,Push,Paul McGuigan,Action,Icon Productions|Infinity Features Entertainment|Summit Entertainment,2009,38623216.4967482,46210949.6412208
17000000,29536299,Brooklyn's Finest,Antoine Fuqua,Crime|Drama|Thriller,Nu Image Films|Langley Productions|Thunder Road Productions|Fuqua Films|Millennium Films,2009,17278807.3801242,30020707.1260444
11000000,68233629,Saw VI,Kevin Greutert,Horror|Mystery,Lionsgate|Twisted Pictures,2009,11180404.7753744,69352690.137521
35000000,27409889,The Young Victoria,Jean-Marc VallÃ©e,Drama|History|Romance,GK Films,2009,35574015.1943733,27859423.0789167
7000000,31430334,A Serious Man,Ethan Coen|Joel Coen,Comedy|Drama,Mike Zoss Productions|Studio Canal|Relativity Media|Focus Features|Working Title Films,2009,7114803.03887467,31945805.1222922
14000000,22852638,A Perfect Getaway,David Twohy,Thriller|Mystery|Adventure,Davis Entertainment|Relativity Media|Rogue|QED International|Tooley Productions,2009,14229606.0777493,23227431.1841004
0,12032983,Spread,David Mackenzie,Comedy,Katalyst Films|Oceana Media Finance|Barbarian Films,2009,0.0,12230329.1450181
40000000,12206028,Whiteout,Dominic Sena,Action|Crime|Mystery|Thriller,StudioCanal|Dark Castle Entertainment|Don Carmody Productions|Warner Bros.|Canadian Film or Video Production Tax Credit (CPTC),2009,40656017.3649981,12406212.1581413
0,41624046,The Uninvited,Charles Guard|Thomas Guard,Drama|Horror|Thriller,DreamWorks SKG|MacDonald/Parkes Productions|Vertigo Entertainment|Cold Spring Pictures|The Montecito Picture Company,2009,0.0,42306698.424437
0,0,Powder Blue,Timothy Linh Bui,Drama,Blue Snow Productions|Eleven Eleven Films|Spirit Dance Entertainment,2009,0.0,0.0
13000000,10652035,I Love You Phillip Morris,Glenn Ficarra|John Requa,Comedy|Drama|Romance,EuropaCorp,2009,13213205.6436243,10826732.9983141
13000000,754249,Enter the Void,Gaspar NoÃ©,Fantasy|Drama,BIM Distribuzione|Wild Bunch,2009,13213205.6436243,766619.011038312
7000000,0,A Single Man,Tom Ford,Drama|Romance,Depth of Field|Artina Films|Fade to Black Productions,2009,7114803.03887467,0.0
20000000,17280326,12 Rounds,Renny Harlin,Action|Adventure|Drama|Thriller,The Mark Gordon Company|Fox Atomic|20th Century Fox Home Entertainment|WWE Studios|Midnight Sun Pictures,2009,20328008.682499,17563730.8482207
8000000,0,Green Street Hooligans 2,Jesse V. Johnson,Action|Drama|Thriller,Odd Lot Entertainment,2009,8131203.47299962,0.0
9000000,70000000,3 Idiots,Rajkumar Hirani,Drama|Comedy|Romance,Vidhu Vinod Chopra Productions,2009,9147603.90712458,71148030.3887467
150000000,836297228,Transformers: Revenge of the Fallen,Michael Bay,Science Fiction|Action|Adventure,Paramount Pictures|DreamWorks SKG|Amblin Entertainment|Di Bonaventura Pictures|Platinum Dunes,2009,152460065.118743,850012865.596695
24000000,68729358,The Men Who Stare at Goats,Grant Heslov,Comedy|War,BBC Films|Smoke House,2009,24393610.4189988,69856549.3083293
15000000,0,Whatever Works,Woody Allen,Comedy|Romance,Sony Pictures Classics|Wild Bunch|Gravier Productions|Perdido Productions,2009,15246006.5118743,0.0
40000000,60462347,Ninja Assassin,James McTeigue,Action|Crime|Thriller,Studio Babelsberg|Anarchos Productions|Legendary Pictures|Dark Castle Entertainment|Silver Pictures,2009,40656017.3649981,61453955.7390135
20000000,5210988,Bandslam,Todd Graff,Comedy|Drama|Family|Music,Summit Entertainment|Goldsmith-Thomas Productions|Walden Media,2009,20328008.682499,5296450.46541992
100000000,100086793,Where the Wild Things Are,Spike Jonze,Family|Fantasy,Village Roadshow Pictures|Legendary Pictures|Playtone|Wild Things Productions|Warner Bros.,2009,101640043.412495,101728259.855374
85000000,219103655,It's Complicated,Nancy Meyers,Comedy|Romance,Universal Pictures|Scott Rudin Productions|Waverly Films|Dentsu|Relativity Media,2009,86394036.900621,222697050.060364
500000,0,Elsewhere,Nathan Hope,Crime|Drama|Thriller,Lost Toys,2009,508200.217062476,0.0
0,0,The Butterfly Effect 3: Revelations,Seth Grossman,Science Fiction|Thriller|Drama|Crime,FilmEngine|After Dark Films|BenderSpink,2009,0.0,0.0
18000000,0,"I Love You, Beth Cooper",Chris Columbus,Comedy|Romance,Ingenious Film Partners|1492 Pictures|Fox Atomic|Dune Entertainment III|Bece Canada Productions,2009,18295207.8142491,0.0
18000000,0,Youth in Revolt,Miguel Arteta,Drama|Comedy|Romance,Dimension Films,2009,18295207.8142491,0.0
100000000,68688831,Land of the Lost,Brad Silberling,Adventure|Comedy|Science Fiction,Universal Pictures|Mosaic Media Group|Relativity Media|Sid & Marty Krofft Pictures,2009,101640043.412495,69815357.6479355
60000000,122233971,Invictus,Clint Eastwood,Drama|History,Spyglass Entertainment|Malpaso Productions|Revelations Entertainment|Mace Neufeld Productions|Warner Bros.,2009,60984026.0474972,124238661.189216
70000000,104945765,Planet 51,Jorge Blanco|Javier Abad|Marcos MartÃ­nez,Science Fiction|Animation|Family|Comedy|Adventure,TriStar Pictures|Ilion Animation Studios|Hand Made Films,2009,71148030.3887467,106666921.105575
0,4706919,Dorian Gray,Oliver Parker,Fantasy|Drama|Thriller,Ealing Studios|Fragile Films,2009,0.0,4784114.51499099
0,77527732,The Haunting in Connecticut,Peter Cornwell,Thriller|Horror,Lionsgate|Gold Circle Films|Integrated Films,2009,0.0,78799220.461523
0,0,American Pie Presents: The Book of Love,John Putch,Comedy,Universal Pictures|Capital Arts Entertainment,2009,0.0,0.0
3500000,0,Green Lantern: First Flight,Lauren Montgomery,Animation|Science Fiction|Action,DC Comics|Warner Bros. Animation,2009,3557401.51943733,0.0
8000000,0,The Tournament,Scott Mann,Horror|Action|Thriller,Sherwood Schwartz Productions|Mann Made Films|Storitel,2009,8131203.47299962,0.0
60000000,62357900,Year One,Harold Ramis,Comedy|Adventure,Columbia Pictures|Ocean Pictures|Apatow Productions,2009,60984026.0474972,63380596.6311204
4500000,744816,Life During Wartime,Todd Solondz,Comedy|Drama,Werc Werk Works,2009,4573801.95356229,757031.305743211
12000000,1644755,Ondine,Neil Jordan,Drama|Romance,Octagon Films|Irish Film Board|Wayfare Entertainment|Little Wave Productions|Start Motion Pictures,2009,12196805.2094994,1671729.69602918
0,19406406,Oceans,Jacques Perrin|Jacques Cluzaud,Documentary|Family,PathÃ© Films|Canal+|TPS Star|Participant Media|France TÃ©lÃ©vision,2009,0.0,19724679.4832051
15000000,100734718,My Bloody Valentine,Patrick Lussier,Mystery|Horror,Lionsgate,2009,15246006.5118743,102386811.106654
87000000,0,Arthur et la vengeance de Maltazard,Luc Besson,Adventure|Fantasy|Animation|Family,Sofica Europacorp|ApipoulaÃ¯|Avalanche Productions|TF1 Films Production|Canal+,2009,88426837.7688709,0.0
0,0,Battlestar Galactica: The Plan,Edward James Olmos,Science Fiction|Action|Adventure|Drama,David Eick Productions|R&D TV,2009,0.0,0.0
0,0,Home,Yann Arthus-Bertrand,Documentary,Europa Corp.|ElzÃ©vir Films|France 2 (FR2),2009,0.0,0.0
35000000,92219310,Old Dogs,Walt Becker,Comedy|Family,Walt Disney Pictures|Tapestry Films,2009,35574015.1943733,93731746.7187036
0,199436,Bitch Slap,Rick Jacobson,Drama|Action|Comedy|Thriller|Crime,IM Global|Bombshell Pictures,2009,0.0,202706.836980144
70000000,39041505,Agora,Alejandro AmenÃ¡bar,Adventure|Drama|History,HimenÃ³ptero|Telecinco Cinema|Mod Producciones|Nimar Studios|Canal+ EspaÃ±a,2009,71148030.3887467,39681802.6308915
8000000,0,Mary and Max,Adam Elliot,Animation|Comedy|Drama,icon,2009,8131203.47299962,0.0
8000000,10629321,The Boondock Saints II: All Saints Day,Troy Duffy,Action|Thriller|Crime,Chris Brinker Productions|Stage 6 Films,2009,8131203.47299962,10803646.4788534
25000000,10589102,The Bad Lieutenant: Port of Call - New Orleans,Werner Herzog,Drama|Crime,Saturn Films|Nu Image Films|Edward R. Pressman Film|Millennium Films|Polsky Films,2009,25410010.8531238,10762767.8697934
30000000,61808775,The Imaginarium of Doctor Parnassus,Terry Gilliam,Adventure|Fantasy|Mystery,Infinity Features Entertainment|Davis-Films|TÃ©lÃ©film Canada|The Movie Network|Canadian Film or Video Production Tax Credit (CPTC),2009,30492013.0237486,62822465.7427315
20000000,1017401,Horsemen,Jonas Ã…kerlund,Crime|Drama|Horror|Mystery|Thriller,Mandate Pictures|Platinum Dunes|Radar Pictures,2009,20328008.682499,1034086.81807916
20000000,22942221,Armored,NimrÃ³d Antal,Action|Crime|Drama|Thriller,Screen Gems|Stars Road Entertainment|Farah Films & Management|Buckaroo Entertainment,2009,20328008.682499,23318483.3841906
0,5802422,Carriers,Ã€lex Pastor|David Pastor,Action|Drama|Horror|Science Fiction|Thriller,Paramount Vantage|Likely Story|Ivy Boy Productions|This Is That Productions,2009,0.0,5897584.23977618
10000000,0,L'ArmÃ©e du crime,Robert GuÃ©diguian,Drama|Foreign|History,Angoa-Agicoa|Centre National de la CinÃ©matographie|Procirep|France 3 CinÃ©ma|Canal+,2009,10164004.3412495,0.0
0,0,My Fake Fiance,Gil Junger,Comedy|Drama|Romance,Hartbreak Films,2009,0.0,0.0
40000000,28169671,Cirque du Freak: The Vampire's Assistant,Paul Weitz,Adventure|Fantasy|Action|Thriller,Universal Pictures,2009,40656017.3649981,28631665.8335571
0,0,Hulk vs. Wolverine,Frank Paur,Animation|Action|Science Fiction,Marvel Studios,2009,0.0,0.0
9000000,985117,Leaves of Grass,Tim Blake Nelson,Comedy|Crime|Drama|Thriller,Nu Image Films|Grand Army Entertainment|Class 5 Films|Millennium Films|Langley Films,2009,9147603.90712458,1001273.34646387
7500000,26096852,An Education,Lone Scherfig,Drama|Romance,BBC Films,2009,7623003.25593715,26524851.7020946
75000000,61458982,Funny People,Judd Apatow,Comedy|Drama,Columbia Pictures|Universal Pictures|Happy Madison Productions|Relativity Media|Apatow Productions,2009,76230032.5593715,62466935.9856777
0,0,Paper Man,Kieran Mulroney|Michele Mulroney,Comedy|Drama,Koch Media,2009,0.0,0.0
25000000,163670000,Up in the Air,Jason Reitman,Drama|Romance,Paramount Pictures,2009,25410010.8531238,166354259.053231
65000000,44091067,Astro Boy,David Bowers,Animation|Action|Family|Science Fiction,The Weinstein Company|Summit Entertainment|Tezuka Production Company Ltd.|Imagi Animation Studios,2009,66066028.2181219,44814179.6398324
50000000,60161391,The International,Tom Tykwer,Drama|Thriller|Crime,Studio Babelsberg|Atlas Entertainment|Mosaic Media Group|X-Filme Creative Pool,2009,50820021.7062476,61148063.929961
12000000,0,Triangle,Christopher Smith,Horror,Dan Films|UK Film Council|Pictures in Paradise|Pacific Film and Television Commission|Icon Entertainment International,2009,12196805.2094994,0.0
0,0,The Hole,Joe Dante,Thriller|Adventure|Fantasy,Bold Films|BenderSpink,2009,0.0,0.0
14000000,875386,Universal Soldier: Regeneration,John Hyams,Adventure|Action|Science Fiction|Thriller,Foresight Unlimited|Baumgarten Management and Productions (BMP)|Signature Entertainment|Unisol 3 Distribution,2009,14229606.0777493,889742.710426906
85000000,363164265,Fast & Furious,Justin Lin,Action|Crime|Drama|Thriller,Universal Pictures|Original Film|One Race Productions|Dentsu Inc.|Relativity Media,2009,86394036.900621,369120316.604669
0,0,Nothing Personal,Urszula Antoniak,Drama,Fastnet Films|Rinkel Film|Family Affair Films|Rinkel Film & TV Productions BV,2009,0.0,0.0
20000000,17436509,Capitalism: A Love Story,Michael Moore,Documentary,The Weinstein Company|Paramount Vantage,2009,20328008.682499,17722475.3172236
12000000,0,Grey Gardens,Michael Sucsy,Drama|History|TV Movie,Et Cetera Films|Specialty Films|Locomotive|HBO Films,2009,12196805.2094994,0.0
25000000,0,Thick as Thieves,Mimi Leder,Action|Thriller|Crime,Revelations Entertainment|Grosvenor Park Media Ltd.|Nu Image Entertainment GmbH|Millennium Films|Emmett/Furla Films,2009,25410010.8531238,0.0
40000000,0,Che: Part Two,Steven Soderbergh,Drama|History|War,Wild Bunch|Telecinco|Laura Bickford Productions|Morena Films|Ministerio de Cultura,2009,40656017.3649981,0.0
15000000,39421467,Halloween II,Rob Zombie,Horror,Dimension Films|Spectacle Entertainment Group|Trancas International Films,2009,15246006.5118743,40067996.1726425
0,24007324,Observe and Report,Jody Hill,Comedy|Crime|Drama,Legendary Pictures|De Line Pictures,2009,0.0,24401054.5357784
22000000,0,Middle Men,George Gallo,Drama|Comedy|Crime,Paramount Pictures|Oxymoron Entertainment|Mallick Media|Middle Pictures,2009,22360809.5507489,0.0
35000000,155545279,Hannah Montana: The Movie,Peter Chelsom,Comedy|Drama|Family|Music|Romance,Walt Disney Pictures|It's a Laugh Productions|Millar Gough Ink,2009,35574015.1943733,158096289.101687
0,32474120,Fighting,Dito Montiel,Action|Adventure|Crime|Drama|Thriller,Paramount Pictures|Universal Pictures|Rogue Pictures,2009,0.0,33006709.6658258
15000000,8786375,Banlieue 13 - Ultimatum,Patrick Alessandrin,Action|Thriller|Crime,Sofica Europacorp|Canal+|CinÃ©CinÃ©ma|EuropaCorp|TF1 International,2009,15246006.5118743,8930475.36438463
8000000,0,Baby on Board,Brian Herzlinger,Comedy|Romance,A Plus Entertainment|Big Shot Productions|Entertainment 7,2009,8131203.47299962,0.0
45000000,57881056,Aliens in the Attic,John Schultz,Adventure|Comedy|Family|Fantasy|Science Fiction,Twentieth Century Fox Film Corporation|Regency Enterprises|Josephson Entertainment|New Upstairs Productions|Upstairs Canada Productions,2009,45738019.5356229,58830330.4460107
12000000,0,Tell-Tale,Michael Cuesta,Drama|Horror|Mystery|Thriller,"Artina Films|Oceana Media Finance|Poe Boy Productions|Steel Company, The",2009,12196805.2094994,0.0
0,2277396,Adam,Max Mayer,Drama|Romance,Vox3 Films|Serenade Films|Olympus Pictures|Deer Path Productions|Northwood Productions,2009,0.0,2314746.28307443
0,0,The Descent: Part 2,Jon Harris,Adventure|Horror|Thriller,Celador Films,2009,0.0,0.0
3400000,9444018,The Collector,Marcus Dunstan,Horror|Thriller,Fortress Features|LD Entertainment|Imaginarium Entertainment Group,2009,3455761.47602484,9598903.99508387
0,27412220,Die PÃ¤pstin,SÃ¶nke Wortmann,Drama,Constantin Film|Ikiru Films|Medusa Film|ARD Degeto Film|Universum Film (UFA),2009,0.0,27861792.3083287
4300000,0,Beautiful Kate,Rachel Ward,Drama|Foreign|Mystery,Beautiful Kate Productions|Doll Australia|New Town Films Pty. Ltd.,2009,4370521.8667373,0.0
3000000,18097,Women in Trouble,Sebastian Gutierrez,Comedy|Drama,Gato Negro Films,2009,3049201.30237486,18393.7986563592
10000000,42333295,The Fourth Kind,Olatunde Osunsanmi,Science Fiction|Thriller,Universal Pictures|Saga Film|Focus Films|Gold Circle Films|Chambara Pictures,2009,10164004.3412495,43027579.4159397
6000000,0,Glorious 39,Stephen Poliakoff,War|Drama|History|Thriller,BBC Films|UK Film Council|Quickfire Films|Magic Light Pictures|Talkback Thames,2009,6098402.60474972,0.0
15000000,5024782,Solitary Man,Brian Koppelman|David Levien,Comedy|Drama|Romance,Smartest Man Productions|Millennium Films|Paul Schiff Productions,2009,15246006.5118743,5107190.60618325
0,0,Cracks,Jordan Scott,Drama|Mystery|Thriller,Element Pictures|Antena 3 Films|Future Films,2009,0.0,0.0
0,0,Redline,Takeshi Koike,Fantasy|Drama|Action|Thriller|Animation,Madhouse|Tohokushinsha Film,2009,0.0,0.0
0,0,The Infidel,Josh Appignanesi,Comedy|Drama,The Salt Company International|Slingshot Productions|Ombadsman,2009,0.0,0.0
800000,867714,The Disappearance of Alice Creed,J Blakeson,Crime|Drama|Thriller,Isle of Man Film|CinemaNX,2009,813120.347299962,881944.886296299
78146652,60000000,Duplicity,Tony Gilroy,Thriller,Universal Pictures|Laura Bickford Productions|Relativity Media|Medienproduktion Poseidon Filmgesellschaft,2009,79428291.0182116,60984026.0474972
3500000,0,Wild Cherry,Dana Lustig,Comedy,Redwood Palms Pictures|Byron A. Martin Productions|Rampage Entertainment|Farpoint Films,2009,3557401.51943733,0.0
0,0,Superman/Batman: Public Enemies,Sam Liu,Animation|Action|Adventure,DC Comics|Warner Premiere,2009,0.0,0.0
10000000,0,Cabin Fever 2: Spring Fever,Ti West,Horror,Tonic Films|Wingman Productions|Tunnel Post|Proud Mary Entertainment|Aloe Entertainment,2009,10164004.3412495,0.0
5100000,0,Shrink,Jonas Pate,Comedy|Drama,Ignite Entertainment,2009,5183642.21403726,0.0
0,0,In the Electric Mist,Bertrand Tavernier,Thriller|Drama|Crime|Mystery,TF1 International|Ithaca Pictures|Little Bear,2009,0.0,0.0
0,0,Wonder Woman,Lauren Montgomery,Action|Adventure|Animation|Science Fiction,DC Comics|Warner Bros. Animation,2009,0.0,0.0
8500000,4440055,Bright Star,Jane Campion,Drama|Romance,BBC Films|PathÃ© Renn Productions|UK Film Council|Screen Australia|Australian Film Finance Corporation (AFFC),2009,8639403.6900621,4512873.82953867
0,0,Stargate SG-1: Children of the Gods,Mario Philip Azzopardi,Adventure|Thriller|Science Fiction,Metro-Goldwyn-Mayer (MGM),2009,0.0,0.0
0,0,Assassin's Creed: Lineage,Yves Simoneau,Action|Drama|History,Ubisoft,2009,0.0,0.0
10000000,0,Ninja,Isaac Florentine,Action|Crime|Drama|Thriller,Nu Image Films|Millennium Films,2009,10164004.3412495,0.0
0,0,Santa Buddies,Robert Vince,Adventure,Walt Disney Studios Home Entertainment|Key Pix Productions|Keystone Entertainment|Santa Buddies Productions,2009,0.0,0.0
9500000,17164377,Adventureland,Greg Mottola,Comedy,Miramax Films|Sidney Kimmel Entertainment|This Is That Productions,2009,9655804.12418705,17445880.2342843
8000000,10848783,Extract,Mike Judge,Comedy,Miramax Films,2009,8131203.47299962,11026707.7509274
0,0,Scooby-Doo! The Mystery Begins,Brian Levant,Mystery|Animation|Comedy|Fantasy,Warner Premiere,2009,0.0,0.0
3500000,44462,Defendor,Peter Stebbings,Drama|Action|Comedy|Crime,Alliance Films|Darius Films|Insight Film Releasing,2009,3557401.51943733,45191.1961020636
0,0,Beauty and the Beast,David Lister,Fantasy,Limelight Productions,2009,0.0,0.0
0,0,American Virgin,Clare Kilner,Comedy,Tax Credit Finance|Domain Entertainment Michigan,2009,0.0,0.0
80000000,53825515,Nine,Rob Marshall,Drama|Music|Romance,The Weinstein Company|Relativity Media,2009,81312034.7299962,54708276.8129992
0,0,Red Riding: In the Year of Our Lord 1983,Anand Tucker,Thriller|Crime|Drama|Mystery,Revolution Films|Channel Four Films|Screen Yorkshire|Lipsync Productions,2009,0.0,0.0
6500000,1521261,The Messenger,Oren Moverman,Drama|History,Oscilloscope Laboratories,2009,6606602.82181219,1546210.34081736
0,0,The Stepfather,Nelson McCormick,Horror|Thriller|Mystery,Screen Gems,2009,0.0,0.0
6300000,0,Without a Paddle: Nature's Calling,Ellory Elkayem,Action|Adventure|Comedy,Paramount Home Entertainment,2009,6403322.7349872,0.0
17000000,14899417,Away We Go,Sam Mendes,Drama|Comedy|Romance,Big Beach Productions|Neal Street Productions,2009,17278807.3801242,15143773.9070087
17000000,20455276,My Life in Ruins,Donald Petrie,Comedy|Romance,Fox Searchlight Pictures|26 Films,2009,17278807.3801242,20790751.4065457
30000000,95714875,My Sister's Keeper,Nick Cassavetes,Drama,Mark Johnson Productions|Gran Via Productions|Curmudgeon Films,2009,30492013.0237486,97284640.5022156
0,0,Seulpeumboda deo seulpeun Iyagi,Tae-Yeon Won,Drama|Foreign|Romance,Core Contents Media,2009,0.0,0.0
0,0,Rampage,Uwe Boll,Action|Drama|Crime|Thriller,Boll Kino Beteiligungs GmbH & Co. KG|Brightlight Pictures|Pitchblack Pictures Inc.|Event Film Distribution|Amok Productions,2009,0.0,0.0
0,1162422,The Cove,Louie Psihoyos,Documentary,Diamond Docs|Fish Films|Oceanic Preservation Society|Quickfire Films|Participant Media,2009,0.0,1181486.22543639
60000000,31720158,The Soloist,Joe Wright,Drama,DreamWorks,2009,60984026.0474972,32240382.3617121
0,0,"Family Guy Presents: Something, Something, Something, Dark Side",Dominic Polcino,Science Fiction|Animation|Comedy,20th Century Fox Television,2009,0.0,0.0
19000000,91379051,Friday the 13th,Marcus Nispel,Horror,New Line Cinema,2009,19311608.2483741,92877707.1063262
25000000,1037335,Crossing Over,Wayne Kramer,Drama,"Kennedy/Marshall Company, The|Movie Prose|C.O. Films",2009,25410010.8531238,1054347.744333
0,0,The Last House on the Left,Dennis Iliadis,Crime|Thriller|Horror|Drama,Rogue Pictures|Film Afrika|Sean S. Cunningham Films,2009,0.0,0.0
7000000,0,Mother and Child,Rodrigo GarcÃ­a,Drama|Romance,Mockingbird Pictures|Everest Entertainment,2009,7114803.03887467,0.0
0,0,Turtles Forever,Roy Burdine|Lloyd Goldfine,Science Fiction|Adventure|Animation|Action|Family,Dong Woo Animation,2009,0.0,0.0
7300000,10329747,Harry Brown,Daniel Barber,Thriller|Crime|Drama|Action,HanWay Films|UK Film Council|Marv Films,2009,7419723.16911216,10499159.3352009
80000000,122444772,Surrogates,Jonathan Mostow,Action|Science Fiction|Thriller,Touchstone Pictures|Mandeville Films|Wintergreen Productions|Top Shelf Productions,2009,81312034.7299962,124452919.41713
3700000,0,Blood and Bone,Ben Ramsey,Drama|Action|Thriller,Michael Mailer Films|Remarkable Films,2009,3760681.60626232,0.0
0,0,Labor Pains,Lara Shapiro,Comedy|Romance,nu image films|Millennium Films|Overnight Films,2009,0.0,0.0
50000000,12764201,Street Fighter: The Legend of Chun-Li,Andrzej Bartkowiak,Action|Adventure|Science Fiction|Thriller,Twentieth Century Fox Film Corporation|Hyde Park Films,2009,50820021.7062476,12973539.4376581
35000000,73034460,Hotel for Dogs,Thor Freudenthal,Comedy|Family,DreamWorks SKG|Nickelodeon Movies,2009,35574015.1943733,74232256.8500815
0,0,Creation,Jon Amiel,Drama|History,BBC Films|HanWay Films|UK Film Council|Ocean Pictures|Recorded Picture Company (RPC),2009,0.0,0.0
9000000,0,Veronika Decides to Die,Emily Young,Drama|Romance,Velvet Steamroller Entertainment|Dash Films|Future Films|Muse Productions|PalmStar Media,2009,9147603.90712458,0.0
0,0,Barbie Presents: Thumbelina,Conrad Helten,Animation|Family,Rainmaker Entertainment,2009,0.0,0.0
0,0,Exam,Stuart Hazeldine,Thriller|Mystery,Hazeldine Films|Bedlam Productions,2009,0.0,0.0
20000000,73830340,Obsessed,Steve Shill,Drama|Thriller,Sony Pictures,2009,20328008.682499,75041189.6275929
15000000,113221,Tetro,Francis Ford Coppola,Drama|Mystery,American Zoetrope|BIM Distribuzione|Tornasol Films|Zoetrope Argentina,2009,15246006.5118743,115077.873552061
4500000,0,Children of the Corn,Donald P. Borchers,Drama|Horror|Thriller,Children of the Corn Productions,2009,4573801.95356229,0.0
10000000,0,The Keeper,Keoni Waxman,Action|Adventure|Thriller,Steamroller Productions,2009,10164004.3412495,0.0
0,0,Lesbian Vampire Killers,Phil Claydon,Horror|Comedy,AV Pictures,2009,0.0,0.0
0,0,44 Inch Chest,Malcolm Venville,Drama|Crime,IM Global|Anonymous Content|Passenger|Twilight Production & Entertainment|Omni Films,2009,0.0,0.0
0,0,The Good Witch's Garden,Craig Pryce,TV Movie|Comedy|Family|Fantasy|Romance,The Hallmark Channel|Whizbang Films Inc.,2009,0.0,0.0
15000000,16633035,Whip It,Drew Barrymore,Drama,Mandate Pictures|Vincent Pictures,2009,15246006.5118743,16905823.9948155
6400000,0,The Trotsky,Jacob Tierney,Comedy,The Harold Greenberg Fund,2009,6504962.7783997,0.0
5060730,0,Metropia,Tarik Saleh,Animation|Drama|Science Fiction|Thriller,Atmo Media Network,2009,5143728.16898917,0.0
0,6149791,In the Loop,Armando Iannucci,Comedy,BBC Films|Aramid Entertainment Fund,2009,0.0,6250650.24217773
60000000,0,Michael Jackson's This Is It,Kenny Ortega,Music|Documentary,Columbia Pictures,2009,60984026.0474972,0.0
0,0,The Vicious Kind,Lee Toland Krieger,Comedy|Drama,72nd Street Productions|Candleridge Entertainment,2009,0.0,0.0
0,0,The Last Station,Michael Hoffman,Drama|Romance,Zephyr Films|Egoli Tossell Film,2009,0.0,0.0
10000000,0,Dolan's Cadillac,Jeff Beesley,Drama|Thriller,Prescience|Minds Eye Entertainment|Footprint Investments,2009,10164004.3412495,0.0
0,0,Dadnapped,Paul Hoen,TV Movie|Action|Adventure|Comedy|Family,Salty Pictures,2009,0.0,0.0
0,0,The Limits of Control,Jim Jarmusch,Crime|Drama|Thriller|Mystery,PointBlank Films,2009,0.0,0.0
0,0,According to Greta,Nancy Bardawil,Drama|Romance,Whitewater Films|Rafter H Entertainment,2009,0.0,0.0
45000000,7810000,Solomon Kane,Michael J. Bassett,Adventure|Fantasy|Action|Science Fiction,Davis-Films|Czech Anglo Productions|Wandering Star Pictures,2009,45738019.5356229,7938087.39051588
0,0,Dead Man Running,Alex De Rakoff,Action|Crime|Drama|Thriller,Next Generation TV & Film|P&T Productions,2009,0.0,0.0
4000000,143191,Survival of the Dead,George A. Romero,Horror|Science Fiction,Devonshire Productions|Artfire Films|New Romero|Sudden Storm Productions|Blank of the Dead Productions,2009,4065601.73649981,145539.394562786
0,0,Dance Flick,Damien Dante Wayans,Action|Comedy|Music,Paramount Pictures|MTV Films|Wayans Bros. Entertainment,2009,0.0,0.0
10000000,0,The Devil's Tomb,Jason Connery,Action|Horror|Thriller|Science Fiction,Ice Cold Productions|Empyreal Entertainment|Ringleader Studios,2009,10164004.3412495,0.0
0,0,Red Riding: In the Year of Our Lord 1974,Julian Jarrold,Thriller|Mystery|Crime|Drama,Revolution Films|Channel Four Films|Screen Yorkshire|Lipsync Productions,2009,0.0,0.0
0,0,Barbie and the Three Musketeers,William Lau,Animation|Family,Mainframe Entertainment,2009,0.0,0.0
150000000,341131793,X-Men Origins: Wolverine,Gavin Hood,Adventure|Action|Thriller|Science Fiction,Ingenious Film Partners|Twentieth Century Fox Film Corporation|Donners' Company|Dune Entertainment|Seed Productions,2009,152460065.118743,346726502.499023
0,0,Balls Out: The Gary Houseman Story,Danny Leiner,Comedy,O.N.C. Entertainment,2009,0.0,0.0
0,0,Mutant Pumpkins from Outer Space,Peter Ramsey,TV Movie|Animation|Family|Comedy,DreamWorks Animation,2009,0.0,0.0
10000000,0,Mammoth,Lukas Moodysson,Drama|Romance,Zentropa Entertainments|Memfis Film|TV2 Danmark|Sveriges Television (SVT)|Film i VÃ¤st,2009,10164004.3412495,0.0
4000000,4100000,S. Darko,Chris Fisher,Thriller|Crime|Science Fiction|Mystery,Adam Fields Productions,2009,4065601.73649981,4167241.7799123
0,0,Prison Break: The Final Break,Kevin Hooks|Brad Turner,Action|Drama|Thriller,SF Film|20th Century Fox Television,2009,0.0,0.0
0,0,Happily N'Ever After 2,Steven E. Gordon|Boyd Kirkland,Family|Animation,Scanbox,2009,0.0,0.0
0,0,Tanner Hall,Francesca Gregorini|Tatiana von Furstenberg,Drama,Tax Credit Finance,2009,0.0,0.0
2900000,296557,Black Dynamite,Scott Sanders,Action|Comedy,Destination Films|Six Point Harness|Ars Nova|Goliath Entertainment,2009,2947561.25896236,301420.663542793
0,0,The Thaw,Mark A. Lewis,Horror|Science Fiction|Thriller,Brightlight Pictures|Anagram Pictures Inc.|Telefilm Canada|Corus Entertainment|Etch Media,2009,0.0,0.0
6000000,6670712,City Island,Raymond De Felitta,Drama|Comedy,Lucky Monkey Pictures|CineSon Entertainment|Filmsmith Productions|Medici Entertainment|Gremi Film Production,2009,6098402.60474972,6780114.57272253
0,0,The Gruffalo,Max Lang|Jakob Schuh,Animation|Family,Magic Light Pictures,2009,0.0,0.0
0,0,The Secret of Kells,Tomm Moore|Nora Twomey,Animation|Family|Fantasy,GÃ©bÃ©ka Films|Cartoon Saloon,2009,0.0,0.0
